tid,pref_name,accession,organism,chembl_id,standard_value,standard_units,standard_type,chembl_id,smiles_processed
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,1100,nM,IC50,CHEMBL6,CC1N(C(=O)C2C=CC(Cl)=CC=2)C2=C(C=1CC(O)=O)C=C(OC)C=C2
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,15400,nM,IC50,CHEMBL578389,C1C(C2=CC(=O)N(C(F)F)C=C2)=CC(C(O)=O)=C(O)C=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,2900,nM,IC50,CHEMBL521,CC(CC1C=CC(C(C(O)=O)C)=CC=1)C
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,350,nM,IC50,CHEMBL25,CC(OC1C(C(O)=O)=CC=CC=1)=O
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,89530,nM,IC50,CHEMBL1950245,CC1=C(Cl)C(=C(C(O)=C1)C1=NN(C(C2C=CC(Cl)=CC=2)C1)C1C=CC(S(=O)(=O)N)=CC=1)C
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,65380,nM,IC50,CHEMBL1950247,CC1=C(Cl)C(=C(C(O)=C1)C1=NN(C(C2C(O)=CC=CC=2)C1)C1C=CC(S(=O)(=O)N)=CC=1)C
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,21610,nM,IC50,CHEMBL118,CC1C=CC(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,3600,nM,IC50,CHEMBL2057739,COC1C2SC(C(=O)O)=C(O)C=2C=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,410,nM,IC50,CHEMBL2057740,C1C(Cl)=CC2SC(C(O)=O)=C(O)C=2C=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,2500,nM,IC50,CHEMBL2057741,C1C=C(Cl)C2SC(C(=O)O)=C(O)C=2C=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,7700,nM,IC50,CHEMBL2057214,CC(=NN=C(O)C1SC2=C(C=1O)C=CC(Cl)=C2)C1C=CC=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,4.1,nM,IC50,CHEMBL6,CC1N(C(=O)C2C=CC(Cl)=CC=2)C2=C(C=1CC(O)=O)C=C(OC)C=C2
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,150,nM,IC50,CHEMBL300982,CC1(CN2C(=C(C(=C2CC(O)=O)C2C=CC(Cl)=CC=2)C2C=CC=CC=2)C1)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,18800,nM,IC50,CHEMBL122,CS(=O)(=O)C1C=CC(C2=C(C(OC2)=O)C2C=CC=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,6500,nM,IC50,CHEMBL313527,CS(=O)(=O)C1C=CC(C2=C(C(OC2)=O)C2C=CC(O)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,1360,nM,IC50,CHEMBL302266,CCN1N=C(C(=C1C(F)(F)F)C1C=CC(F)=CC=1)C1C=CC(S(=O)(=O)N)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,17000,nM,IC50,CHEMBL367328,CS(=O)(=O)C1C=CC(C2=C(C3C=CC=CC=3)C=C(N)C=C2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,43000,nM,IC50,CHEMBL171147,CS(=O)(=O)C1C=CC(C2C(N3CCCCC3)=CC=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,35000,nM,IC50,CHEMBL172128,CS(=O)(=O)C1C=CC(C2=C(C3C=CC=CC=3)C=CC(N)=C2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,390,nM,IC50,CHEMBL368682,CC(C(=O)N(O)C(C#CC1=NN(C(C2C=CC(=CC=2)C)=C1)C1C=CC(OC)=CC=1)C)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,1620,nM,IC50,CHEMBL174501,CC(N(O)C(OC)=O)C#CC1=NN(C(C2C=CC(Cl)=CC=2)=C1)C1C=CC(OC)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,32000,nM,IC50,CHEMBL369848,CC(N(O)C(O)=N)C#CC1=NN(C(C2C=CC(Cl)=CC=2)=C1)C1C=CC(OC)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,2930,nM,IC50,CHEMBL176200,CCOC(=O)CCC(=O)N(O)C(C#CC1=NN(C(C2C=CC(=CC=2)C)=C1)C1C=CC(OC)=CC=1)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,530,nM,IC50,CHEMBL174684,CC1C=CC(C2N(N=C(C=2)C#CC(N(O)C(OC)=O)C)C2C=CC(OC)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,1300,nM,IC50,CHEMBL174616,CC1C=CC(C2N(N=C(C=2)C#CC(N(O)C(=O)C2OC=CC=2)C)C2C=CC(OC)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,2540,nM,IC50,CHEMBL435907,CC(N(O)C(=O)C)C#CC1=NN(C(C2C=CC(Cl)=CC=2)=C1)C1C=CC(OC)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,590,nM,IC50,CHEMBL176844,CCC1C=CC(C2N(N=C(C=2)C#CC(N(O)C(=O)C(C)C)C)C2C=CC(OC)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,6000,nM,IC50,CHEMBL175372,CC1C=CC(C2N(N=C(C=2)C#CC(N(O)C(=O)C2=CN=CC=C2)C)C2C=CC(OC)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,1020,nM,IC50,CHEMBL368546,CC1C=CC(C2N(N=C(C=2)C#CCN(O)C(O)=N)C2C=CC(OC)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,4600,nM,IC50,CHEMBL316040,CN(O)C(=O)CCC1=NN(C(C2C=CC(Cl)=CC=2)=C1)C1C=CC(OC)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,310,nM,IC50,CHEMBL175153,CC1C=CC(C2N(N=C(C=2)C#CC(N(O)C(=O)C)C)C2C=CC(OC)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,430,nM,IC50,CHEMBL177727,CCC(N(O)C(=O)C)C#CC1=NN(C(C2C=CC(=CC=2)C)=C1)C1C=CC(OC)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,6100,nM,IC50,CHEMBL176945,CCC1C=CC(C2N(N=C(C=2)C#CC(N(O)C(=O)CCl)C)C2C=CC(OC)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,2510,nM,IC50,CHEMBL367010,CCC1C=CC(C2N(N=C(C=2)C#CC(N(O)C(=O)C)C)C2C=CC(OC)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,420,nM,IC50,CHEMBL264200,CC1C=CC(C2N(N=C(C=2)C#CC(N(O)C(=O)C(F)(F)F)C)C2C=CC(OC)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,70000,nM,IC50,CHEMBL17043,CS(=O)(=O)C1C=CC(C2SC(=NC=2C2=C(F)C=C(F)C=C2)C2C(Cl)=CC=CC=2)=CC=1
